# mu value:
1.300000
# num_x_vals
36
# x, evolved, exact, ratio
0.002, -8.94166e-18, 0, -inf
0.003, -4.91853e-18, 0, -inf
0.004, -3.69482e-18, 0, -inf
0.005, -1.0542e-17, 0, -inf
0.006, -9.53487e-18, 0, -inf
0.007, -3.39348e-18, 0, -inf
0.008, -8.53741e-18, 0, -inf
0.009, -4.526e-18, 0, -inf
0.01, -1.73472e-18, 0, -inf
0.02, -3.51332e-18, 0, -inf
0.03, -6.52744e-18, 0, -inf
0.04, -6.97126e-18, 0, -inf
0.05, -5.26539e-18, 0, -inf
0.06, -7.73721e-21, 0, -inf
0.07, -2.87952e-18, 0, -inf
0.08, -7.64993e-18, 0, -inf
0.09, 5.02471e-19, 0, inf
0.1, -3.46945e-18, 0, -inf
0.2, -4.053e-18, 0, -inf
0.3, -1.05669e-17, 0, -inf
0.4, -1.75248e-17, 0, -inf
0.5, -1.56313e-17, 0, -inf
0.6, -2.13234e-18, 0, -inf
0.7, -8.95073e-18, 0, -inf
0.8, -1.67695e-17, 0, -inf
0.9, -1.217e-17, 0, -inf
0.0001, 0, 0, -nan
0.0002, 0, 0, -nan
0.0003, 0, 0, -nan
0.0004, 0, 0, -nan
0.0005, 0, 0, -nan
0.0006, 0, 0, -nan
0.0007, 0, 0, -nan
0.0008, 0, 0, -nan
0.0009, 0, 0, -nan
0.001, 0, 0, -nan
0.002, 0, 0, -nan
0.003, 0, 0, -nan
0.004, 0, 0, -nan
0.005, 0, 0, -nan
0.006, 0, 0, -nan
0.007, 0, 0, -nan
0.008, 0, 0, -nan
0.009, 0, 0, -nan
0.01, 0, 0, -nan
0.02, 0, 0, -nan
0.03, 0, 0, -nan
0.04, 0, 0, -nan
0.05, 0, 0, -nan
0.06, 0, 0, -nan
0.07, 0, 0, -nan
0.08, 0, 0, -nan
0.09, 0, 0, -nan
0.1, 0, 0, -nan
0.2, 0, 0, -nan
0.3, 0, 0, -nan
0.4, 0, 0, -nan
0.5, 0, 0, -nan
0.6, 0, 0, -nan
0.7, 0, 0, -nan
0.8, 0, 0, -nan
0.9, 0, 0, -nan
